tcp.seq,tcp.nxtseq,tcp.ack,tcp.checksum,tcp.flags.syn
1275068416,1275068416,0,0x000082d0,1
,,,,
,,,,
0,0,1275068417,0x000084bd,0
1862270976,1862270976,0,0x0000cbb8,1
0,0,1862270977,0x0000cda5,0
1912602624,1912602624,0,0x00002fd4,1
0,0,1912602625,0x000031c1,0
1694498816,1694498816,0,0x000021b3,1
0,0,1694498817,0x000023a0,0
1828716544,1828716544,0,0x000071c9,1
0,0,1828716545,0x000073b6,0
536870912,536870912,0,0x000065bc,1
0,0,536870913,0x000067a9,0
,,,,
,,,,
1761607680,1761607680,0,0x000053d2,1
0,0,1761607681,0x000055bf,0
1879048192,1879048192,0,0x000062b9,1
0,0,1879048193,0x000064a6,0
1929379840,1929379840,0,0x00004cb3,1
0,0,1929379841,0x00004ea0,0
1962934272,1962934272,0,0x000015b4,1
0,0,1962934273,0x000017a1,0
1828716544,1828716544,0,0x00007dd0,1
0,0,1828716545,0x00007fbd,0
536870912,536870912,0,0x000078c8,1
0,0,536870913,0x00007ab5,0
1677721600,1677721600,0,0x00004bb6,1
0,0,1677721601,0x00004da3,0
1862270976,1862270976,0,0x0000bbcf,1
0,0,1862270977,0x0000bdbc,0
1811939328,1811939328,0,0x000077ba,1
0,0,1811939329,0x000079a7,0
1862270976,1862270976,0,0x0000acba,1
0,0,1862270977,0x0000aea7,0
1912602624,1912602624,0,0x0000e1d2,1
0,0,1912602625,0x0000e3bf,0
536870912,536870912,0,0x000090c5,1
0,0,536870913,0x000092b2,0
1929379840,1929379840,0,0x000013b8,1
0,0,1929379841,0x000015a5,0
1761607680,1761607680,0,0x000052bc,1
0,0,1761607681,0x000054a9,0
1946157056,1946157056,0,0x000065b0,1
0,0,1946157057,0x0000679d,0
536870912,536870912,0,0x000004b6,1
0,0,536870913,0x000006a3,0
1627389952,1627389952,0,0x0000a5b3,1
0,0,1627389953,0x0000a7a0,0
1828716544,1828716544,0,0x00006cc4,1
0,0,1828716545,0x00006eb1,0
1694498816,1694498816,0,0x0000e4b3,1
0,0,1694498817,0x0000e6a0,0
1946157056,1946157056,0,0x00007cc6,1
0,0,1946157057,0x00007eb3,0
738197504,738197504,0,0x00000ac9,1
0,0,738197505,0x00000cb6,0
536870912,536870912,0,0x000093c0,1
0,0,536870913,0x000095ad,0
1660944384,1660944384,0,0x000084b5,1
0,0,1660944385,0x000086a2,0
1862270976,1862270976,0,0x000053d3,1
0,0,1862270977,0x000055c0,0
1845493760,1845493760,0,0x0000a1b9,1
0,0,1845493761,0x0000a3a6,0
1929379840,1929379840,0,0x00006ec6,1
0,0,1929379841,0x000070b3,0
1694498816,1694498816,0,0x000032cd,1
0,0,1694498817,0x000034ba,0
1660944384,1660944384,0,0x000039b1,1
0,0,1660944385,0x00003b9e,0
1946157056,1946157056,0,0x0000b8cf,1
0,0,1946157057,0x0000babc,0
1694498816,1694498816,0,0x000082d2,1
0,0,1694498817,0x000084bf,0
1946157056,1946157056,0,0x00008ab1,1
0,0,1946157057,0x00008c9e,0
1962934272,1962934272,0,0x00008bce,1
0,0,1962934273,0x00008dbb,0
1912602624,1912602624,0,0x0000f5c2,1
0,0,1912602625,0x0000f7af,0
536870912,536870912,0,0x00001fbf,1
0,0,536870913,0x000021ac,0
1627389952,1627389952,0,0x000031b0,1
0,0,1627389953,0x0000339d,0
1677721600,1677721600,0,0x0000e4c6,1
0,0,1677721601,0x0000e6b3,0
1761607680,1761607680,0,0x0000a4b8,1
0,0,1761607681,0x0000a6a5,0
1879048192,1879048192,0,0x0000a2c3,1
0,0,1879048193,0x0000a4b0,0
1761607680,1761607680,0,0x0000c4bb,1
0,0,1761607681,0x0000c6a8,0
1929379840,1929379840,0,0x0000c0d0,1
0,0,1929379841,0x0000c2bd,0
1660944384,1660944384,0,0x0000a3c9,1
0,0,1660944385,0x0000a5b6,0
1761607680,1761607680,0,0x00009bcd,1
0,0,1761607681,0x00009dba,0
1845493760,1845493760,0,0x00008dc7,1
