tcp.seq,tcp.nxtseq,tcp.ack,tcp.checksum,tcp.flags.syn
,,,,
,,,,
1282372197,1282372197,0,0x0000d601,1
0,0,1282372198,0x0000d7ee,0
1830840688,1830840688,0,0x0000be45,1
0,0,1830840689,0x0000c032,0
1937075488,1937075488,0,0x0000b440,1
0,0,1937075489,0x0000b62d,0
1685023855,1685023855,0,0x0000c3f7,1
0,0,1685023856,0x0000c5e4,0
1914729321,1914729321,0,0x0000af4c,1
0,0,1914729322,0x0000b139,0
1948279149,1948279149,0,0x0000bf48,1
0,0,1948279150,0x0000c135,0
,,,,
,,,,
1702112288,1702112288,0,0x00000342,1
0,0,1702112289,0x0000052f,0
1668247155,1668247155,0,0x0000c2f3,1
0,0,1668247156,0x0000c4e0,0
1701016677,1701016677,0,0x0000bb0d,1
0,0,1701016678,0x0000bcfa,0
1953853984,1953853984,0,0x0000ae40,1
0,0,1953853985,0x0000b02d,0
1633970544,1633970544,0,0x0000ca01,1
0,0,1633970545,0x0000cbee,0
1769169769,1769169769,0,0x0000c7f9,1
0,0,1769169770,0x0000c9e6,0
1852252261,1852252261,0,0x0000060a,1
0,0,1852252262,0x000007f7,0
1818850348,1818850348,0,0x0000b440,1
0,0,1818850349,0x0000b62d,0
544433508,544433508,0,0x00000eff,1
0,0,544433509,0x000010ec,0
543452960,543452960,0,0x00000552,1
0,0,543452961,0x0000073f,0
1701410163,1701410163,0,0x0000b9f9,1
0,0,1701410164,0x0000bbe6,0
1836016672,1836016672,0,0x0000c346,1
0,0,1836016673,0x0000c533,0
1952804208,1952804208,0,0x0000b300,1
0,0,1952804209,0x0000b4ed,0
1869750377,1869750377,0,0x000004fb,1
0,0,1869750378,0x000006e8,0
1852008804,1852008804,0,0x0000bd0e,1
0,0,1852008805,0x0000befb,0
1768191342,1768191342,0,0x0000b603,1
0,0,1768191343,0x0000b7f0,0
1948284276,1948284276,0,0x0000ab41,1
0,0,1948284277,0x0000ad2e,0
543973730,543973730,0,0x00001308,1
0,0,543973731,0x000014f5,0
1869767968,1869767968,0,0x0000c043,1
0,0,1869767969,0x0000c230,0
1702109284,1702109284,0,0x00000efe,1
0,0,1702109285,0x000010eb,0
1869377394,1869377394,0,0x0000b5f7,1
0,0,1869377395,0x0000b7e4,0
1696623969,1696623969,0,0x0000c254,1
0,0,1696623970,0x0000c441,0
1735287072,1735287072,0,0x0000cc47,1
0,0,1735287073,0x0000ce34,0
1634494833,1634494833,0,0x0000c9f8,1
0,0,1634494834,0x0000cbe5,0
1969303072,1969303072,0,0x0000f154,1
0,0,1969303073,0x0000f341,0
1348824172,1348824172,0,0x0000d804,1
0,0,1348824173,0x0000d9f1,0
1701737573,1701737573,0,0x0000bb02,1
0,0,1701737574,0x0000bcef,0
1936815461,1936815461,0,0x0000abff,1
0,0,1936815462,0x0000adec,0
543253609,543253609,0,0x0000100c,1
0,0,543253610,0x000011f9,0
1885959011,1885959011,0,0x0000b109,1
0,0,1885959012,0x0000b2f6,0
1768843040,1768843040,0,0x0000c447,1
0,0,1768843041,0x0000c634,0
,,,,
,,,,
1668246893,1668246893,0,0x0000c3f9,1
0,0,1668246894,0x0000c5e6,0
